isbn,acabamento,preco
9788563201102,BROCHURA,Não há informação
9788564431096,BROCHURA,Não há informação
9788564431010,BROCHURA,36
9788576571988,BROCHURA,Não há informação
9788582861097,BROCHURA,44.9
9788516095130,Não há informação,Não há informação
9788516091323,Não há informação,Não há informação
9788574752280,BROCHURA,Não há informação
9788563560896,BROCHURA,32.9
9788577343799,BROCHURA,Não há informação
9788577342952,BROCHURA,Não há informação
9788577342884,BROCHURA,Não há informação
9788577342808,BROCHURA,22
9788577342266,BROCHURA,Não há informação
9788581301570,BROCHURA,Não há informação
9788581302010,BROCHURA,36
9788561501983,BROCHURA,59.9
9783836542630,BROCHURA,600
9788578883058,BROCHURA,39.9
9788576950172,BROCHURA,44.9
9788580446654,BROCHURA,Não há informação
9788581861227,BROCHURA,Não há informação
9788537809594,BROCHURA,69.9
9788537805190,BROCHURA,72.9
9788576766308,Não há informação,Não há informação
9788539505333,BROCHURA,69.8
9788563219978,Não há informação,Não há informação
9788539002948,Não há informação,Não há informação
9788539002542,BROCHURA,39.9
9788573029161,Não há informação,Não há informação
9788535920697,BROCHURA,29.9
9781450808224,ENCADERNADO,Não há informação
9781450808798,CAPA DURA,Não há informação
9781450807739,ENCADERNADO,Não há informação
9781450807722,CAPA DURA,Não há informação
9788579620676,BROCHURA,64.9
9788516070052,BROCHURA,Não há informação
9788503011044,BROCHURA,Não há informação
9788573280234,Não há informação,Não há informação